1000 5751
182 363 8
9 410 39
157 418 69
228 999 18
99 720 51
711 814 38
284 907 26
373 709 89
784 880 57
581 814 48
43 917 38
229 625 9
252 398 22
5 426 32
199 398 39
237 745 37
661 871 34
329 347 43
38 548 38
730 731 44
418 664 27
38 391 54
272 713 34
90 914 28
142 711 35
81 235 46
504 667 62
802 948 29
610 730 21
712 731 20
122 486 37
350 578 58
808 889 61
71 437 48
663 666 23
358 791 48
294 461 61
155 926 29
285 344 44
84 773 69
194 308 49
10 452 56
456 956 65
571 680 27
128 388 77
188 983 54
336 469 32
97 865 80
342 444 58
532 961 41
3 239 23
289 577 48
714 764 59
200 901 60
667 716 27
146 254 63
47 399 35
537 538 31
478 666 8
398 784 53
151 905 55
47 931 17
557 665 22
456 504 38
68 168 56
395 885 23
43 543 28
61 964 65
549 742 27
42 53 32
57 893 49
342 391 36
659 860 92
51 643 26
256 915 53
537 574 51
14 582 18
141 576 51
757 955 50
362 900 35
179 785 78
470 704 61
524 923 25
643 690 58
83 500 30
102 702 17
506 807 51
355 788 50
218 518 62
105 868 47
369 429 28
172 427 37
481 657 57
9 861 30
90 886 8
394 607 37
868 893 43
326 329 43
11 397 72
260 694 31
382 544 34
194 809 23
165 935 60
809 962 56
148 407 49
527 843 12
48 821 61
573 710 56
499 870 37
731 887 50
14 52 71
285 479 45
410 668 33
612 752 35
245 733 51
224 473 35
754 772 42
104 142 16
116 988 52
750 992 33
785 943 33
87 445 54
10 827 52
203 339 50
235 646 34
412 682 29
485 684 29
139 719 47
293 366 56
740 947 13
229 888 19
21 421 58
306 480 62
445 507 54
311 329 30
209 622 20
216 601 11
186 832 40
707 925 22
485 699 27
4 581 47
106 542 54
227 798 47
284 971 41
95 872 70
434 588 62
263 911 26
134 588 53
53 247 52
584 714 20
192 473 18
8 731 53
771 901 23
32 478 44
617 953 22
289 662 15
542 957 41
300 840 15
95 591 70
164 210 98
616 736 61
479 988 13
179 974 69
827 851 62
173 914 33
725 950 69
512 911 38
144 575 57
113 544 55
81 99 13
531 913 54
668 904 45
104 763 55
11 282 56
196 571 42
148 359 50
72 555 43
607 996 44
378 993 38
722 995 32
236 570 28
882 966 63
320 387 81
608 753 24
395 764 43
525 996 46
42 996 30
184 637 41
203 444 24
528 825 44
272 589 24
235 855 21
226 761 56
266 728 53
216 257 38
641 839 53
87 170 12
253 998 50
233 736 49
546 572 22
258 460 19
946 974 53
173 635 55
841 961 56
606 792 58
786 840 44
15 748 15
119 706 45
314 630 61
84 905 69
467 579 58
705 770 48
64 101 14
496 631 64
185 721 55
101 926 20
596 947 46
143 783 28
138 980 25
158 864 80
437 554 23
267 492 28
375 696 18
117 380 89
121 246 30
94 843 60
290 700 30
835 856 54
448 553 14
287 771 30
626 832 20
235 845 83
233 932 58
233 370 25
524 991 51
202 617 31
258 447 39
669 795 50
116 227 35
389 915 50
570 941 22
7 542 27
407 877 31
501 800 29
429 738 39
204 777 58
509 831 35
147 681 55
449 571 48
648 907 57
253 302 26
53 317 58
776 781 35
470 506 65
437 595 50
172 432 20
744 927 26
190 741 52
43 746 22
588 827 14
100 162 37
182 463 54
465 566 36
138 613 55
280 848 51
308 809 50
628 741 6
896 992 29
248 415 8
69 891 50
619 787 51
124 581 47
465 497 57
239 859 62
170 665 62
585 937 19
531 896 61
104 711 41
2 855 50
191 355 83
171 630 21
177 778 106
64 521 63
567 725 75
446 459 37
483 626 43
195 452 41
228 293 34
60 967 37
107 310 55
514 639 4
739 856 59
37 560 44
120 316 63
52 814 24
370 898 34
604 606 27
594 830 13
462 920 44
632 853 35
460 765 51
110 290 56
447 598 47
400 569 28
429 486 45
196 632 52
398 694 59
860 948 51
333 580 53
759 860 20
245 975 70
433 896 35
79 440 25
244 580 66
445 701 43
660 829 32
320 852 36
343 598 33
400 432 36
247 626 31
924 985 55
559 564 52
71 219 16
379 637 26
358 413 27
702 960 50
199 323 69
340 982 39
233 718 22
287 822 36
453 456 57
449 680 46
663 973 41
361 558 2
137 593 50
247 336 53
688 794 42
625 778 70
93 717 35
534 976 43
862 948 4
846 857 55
101 288 56
540 556 28
385 754 57
226 783 50
758 833 61
224 266 32
263 265 14
196 400 41
691 843 56
40 760 51
75 156 58
69 533 23
116 593 35
471 766 33
297 515 30
615 897 50
923 971 58
255 992 16
432 477 50
825 878 65
224 407 48
47 423 44
332 508 68
742 920 33
63 454 40
754 999 21
471 668 33
37 904 17
77 973 62
109 546 7
100 975 46
361 507 39
176 334 49
284 648 35
315 524 12
507 920 26
282 465 62
297 811 41
117 975 59
320 920 7
565 820 59
268 652 30
238 535 19
127 525 49
194 681 29
342 470 65
348 662 28
69 650 45
110 605 38
826 976 37
159 202 51
305 527 49
630 913 60
336 735 34
112 377 64
383 859 61
195 488 45
336 537 49
497 498 35
215 794 52
289 873 37
201 430 25
544 736 53
601 966 56
612 897 55
7 854 22
342 627 62
642 946 53
287 627 24
296 302 42
343 379 44
89 348 40
407 748 27
181 906 30
330 711 14
16 811 32
597 946 62
387 803 83
270 345 45
258 496 54
539 906 51
51 65 40
49 289 57
174 918 51
405 557 64
266 423 37
194 751 60
833 870 37
445 930 55
93 182 52
32 321 9
267 950 52
423 488 31
17 650 57
571 831 51
759 857 32
696 842 56
425 621 63
16 706 49
47 671 43
5 56 10
419 474 47
651 927 52
44 820 61
80 531 49
183 909 59
567 634 67
784 894 38
346 741 40
118 452 23
22 616 94
