10000 40000
1117 4046 1
3516 7548 1
3636 6152 1
6017 7385 1
1769 5140 1
537 8840 1
917 5863 1
3819 8488 1
774 1613 1
6133 8499 1
209 4056 1
4040 5454 1
4621 6897 1
4394 7672 1
9208 9362 1
5257 8047 1
3780 9664 1
1406 2994 1
3886 8370 1
5873 7986 1
468 1664 1
875 9370 1
6833 6981 1
4744 9340 1
1802 3344 1
2510 6814 1
762 7214 1
5058 8187 1
4010 8032 1
7614 8485 1
432 5767 1
2507 7482 1
258 8620 1
788 5402 1
2410 5829 1
3241 5757 1
7995 8362 1
2386 2991 1
4383 7267 1
410 6947 1
3579 5752 1
4241 6625 1
7525 9352 1
5496 5538 1
3994 9377 1
1582 2415 1
5587 5656 1
1129 3601 1
1801 4408 1
2207 9822 1
3048 6466 1
2255 4386 1
830 3719 1
4173 8561 1
2034 5141 1
1079 5177 1
6586 8551 1
700 1394 1
2842 5085 1
22 6434 1
2927 9330 1
5707 7828 1
4463 6041 1
2913 4736 1
3685 9911 1
8750 9934 1
7910 8762 1
6060 7165 1
2856 7585 1
6003 7597 1
1381 2667 1
1716 7087 1
2979 9870 1
348 5264 1
2603 8078 1
4561 9208 1
7159 8978 1
5765 9876 1
1269 9781 1
8805 9991 1
1309 4484 1
1422 3607 1
3448 9567 1
4912 7156 1
232 2056 1
5546 7479 1
6358 7357 1
1833 6332 1
4534 6981 1
1358 3033 1
1887 9012 1
2252 7447 1
3410 3798 1
3550 7750 1
2387 4639 1
594 9992 1
3737 5132 1
2467 8540 1
7847 9887 1
4731 8434 1
25 9283 1
3306 6077 1
556 2503 1
3778 6072 1
6923 8455 1
3535 6314 1
3596 9973 1
6351 8414 1
7533 9323 1
1342 3038 1
7117 7358 1
2277 4255 1
4673 7274 1
3584 4112 1
426 7883 1
4963 5535 1
703 8191 1
2189 5539 1
2775 5636 1
6660 7829 1
4402 6407 1
5393 8502 1
4254 8229 1
794 6774 1
4937 5253 1
647 7478 1
1826 2454 1
6266 8841 1
6963 8769 1
6288 9354 1
51 7632 1
658 4634 1
1795 4080 1
1815 7176 1
310 918 1
327 6749 1
359 7950 1
2799 8100 1
682 6159 1
1855 5262 1
3415 5565 1
3076 3655 1
2170 7525 1
5528 6983 1
6135 9647 1
1526 4979 1
447 1539 1
1510 4446 1
